loan_grade,vintage_year,total_upb,total_el,el_rate
C,2014,2108530000,1177326.1966788303,0.0005583635028568862
C,2015,2212389000,808642.5408841575,0.0003655064913467557
C,2016,2416168000,445919.6207212446,0.0001845565460353935
C,2017,2594802000,613853.1458763435,0.00023657032246635523
C,2018,2476140000,481633.93106649333,0.0001945099756340487
C,2019,2591596000,326165.51463379804,0.00012585507719328092
C,2020,2405794000,355117.9981106324,0.00014760947866302452
C,2021,2633928000,380328.71063961554,0.0001443960163829898
C,2022,3205567000,604449.0257802987,0.00018856228111291973
C,2023,3226108000,1136716.7872664928,0.00035234926644318567
C,2024,3058228000,1135480.5087115318,0.0003712870684303236
C,2025,2789116000,1002087.6951104077,0.0003592850548741636
D,2005,1190518000,42208454.321124405,0.03545385649030456
D,2006,1538241000,84649568.07972689,0.05503010781777816
D,2007,1717745000,104548673.35277031,0.06086390782844387
D,2008,1486978000,57519594.80700361,0.03868220969442965
D,2009,672186000,10008622.799795927,0.014889662682346743
D,2010,994320000,10697183.05608088,0.010758290144099365
D,2011,1298997000,9584116.777148439,0.007378090001091949
D,2012,2002330000,10382551.961590175,0.005185235181808281
D,2013,1941059000,7734493.934201427,0.003984677402490819
D,2014,2122898000,3581872.274688103,0.001687255946676714
D,2015,1860953000,1253014.5870327058,0.0006733187710988433
D,2016,2041653000,1028435.7727934293,0.0005037270157041521
D,2017,2508212000,898122.3649507387,0.0003580727486156428
D,2018,2798818000,1005178.4358088616,0.0003591439085388409
D,2019,2763922000,395359.48933004093,0.0001430429257157188
D,2020,1855528000,233270.9978178637,0.00012571677593540152
D,2021,2119305000,318896.33385265997,0.0001504721282933131
D,2022,3631666000,755736.715748822,0.00020809642619911136
D,2023,4424672000,1425514.6619039811,0.000322174087006671
D,2024,4365161000,1516685.3853237117,0.000347452335738295
D,2025,3851342000,1278639.7578097219,0.000331998497617122
E,2005,540291000,20898760.46839997,0.038680563748794576
E,2006,715794000,47126715.35112428,0.06583837717433268
E,2007,725676000,55838430.480696104,0.07694677856329285
E,2008,414188000,24975240.57605003,0.06029928577373084
E,2009,105549000,2853059.8292057416,0.02703066660229601
E,2010,147440000,2949064.845193511,0.02000179629132875
E,2011,142298000,2290752.34866367,0.016098275089345387
E,2012,166906000,2170308.419479396,0.013003177953335388
E,2013,227502000,1450060.7455761784,0.006373837353413062
E,2014,240783000,1070646.078949689,0.0044465185621480295
E,2015,182504000,486137.04764277156,0.0026637062620149233
E,2016,177172000,322443.74612380384,0.00181994754319985
E,2017,197853000,143837.9155984962,0.0007269938570478901
E,2018,174632000,124018.05651573672,0.000710167990492789
E,2019,134103000,179017.08533003557,0.001334922300992786
E,2020,90162000,15936.615151959471,0.0001767553420727077
E,2021,132847000,35858.204373721754,0.00026992106990539306
E,2022,240609000,51854.75722106639,0.00021551462007267556
E,2023,149999000,156785.00719091875,0.0010452403495417885
E,2024,198507000,86519.23630256206,0.00043584980027183955
E,2025,161410000,68248.63032511435,0.0004228277698105096
